OBJECTID,CLUSTER_ID,FREQUENCY,MEAN_T,STD_T,MEAN_pm_25,STD_pm_25,MEAN_pm_10,STD_pm_10,MEAN_no_2,STD_no_2,MEAN_o3_s35,STD_o3_s35,MEAN_o3_p932,STD_o3_p932,MEAN_RASTERVALU,STD_RASTERVALU,MEAN_Y_LT15_share,STD_Y_LT15_share,MEAN_Y_1564_share,STD_Y_1564_share,MEAN_Y_GE65_share,STD_Y_GE65_share,MEAN_NAT_share,STD_NAT_share,MEAN_EU_OTH_share,STD_EU_OTH_share,MEAN_OTH_share,STD_OTH_share,MEAN_SAME_share,STD_SAME_share,MEAN_CHG_IN_share,STD_CHG_IN_share,MEAN_CHG_OUT_share,STD_CHG_OUT_share,MEAN_EMP_share,STD_EMP_share,Clusters,PCs,Country
3,3,11,1085.1818181818182,1657.9242936987093,12.203670854545454,2.236933921780506,19.986886118181815,3.604533208061908,9.814467463636364,4.272756652185679,1927.8014693000002,383.807051491279,91.23640232727271,3.335135866111191,26.727272727272727,4.540724811985616,10.36328235797423,4.866809923148697,76.15358561575408,8.62287161468097,13.483132026271683,4.672624361342123,80.36544198781024,8.785501392063136,0.9490647860970114,0.7010902853119678,18.68549322609276,8.857542134399655,78.2741979687045,4.360429835113077,17.141329164175954,6.044215903993618,4.584472867119538,3.272810212449426,66.82453171620176,18.734649429005493,7,6,LV
4,4,36,2261.277777777778,2197.436059347492,8.914065830555554,1.8372014112542594,15.903958611111111,2.1667412510322297,8.864209300000002,2.8598454973159098,1516.6686774138898,259.87275556240877,86.2575876555556,2.8826989674674675,21.52777777777778,0.5063093978480133,13.831201221819692,1.757158407098439,61.13319107531428,4.886671730076648,25.035607702866017,5.586213281388152,78.67691993391884,4.61200398339683,2.025856707977657,2.4787555074878473,19.29722335810351,5.475643585628797,92.05453382767304,2.644818647034703,7.225661086455124,2.246630763268205,0.7198050858718318,1.0203649838481974,72.13804285293998,6.6979200170104525,7,6,LV
5,5,123,4530.861788617886,3375.9960092558654,13.478454461788616,0.8673405527148894,22.352525182113823,1.4289372607119275,14.85463154634146,1.5165974551875996,1519.5084635544717,59.53668260634972,87.50913454390253,0.5034111920047625,27.959349593495936,3.696250590255345,15.41534609204236,2.2937355241154687,63.60998615701761,3.3997966209988046,20.974667750940043,3.974153370006794,83.30840043228142,4.5254017181185695,1.317488595020816,0.5248953032452273,15.374110972697768,4.402080956501121,90.65029217247962,2.9535704789957946,8.720360601928887,2.5539443299961646,0.6293472255915847,0.6476705709116947,76.54527540993038,3.3032959362947043,7,6,LV
6,6,122,1202.7131147540983,1270.257821682508,9.507637707377047,1.259692800192083,14.959668438524593,1.8746015899231516,8.617246929508196,2.117931277088675,2039.0793937303276,156.99775306691342,92.16936548770494,1.2511257008528245,21.74590163934426,1.9394191658816333,15.197782590377898,2.2447887615982403,63.04014023193194,3.340304362993649,21.76207717769017,3.6375050719403847,90.16615870708303,3.736106239597885,0.7480102059969227,0.4291798279168438,9.08583108692004,3.6092922435528623,93.08748373604926,2.5298646395495967,6.5873253627409465,2.4302405976270847,0.32519090120979277,0.3703379187292028,71.08028837873486,6.8068195344137665,7,6,LV
7,7,93,1847.0537634408602,1883.5861343031127,12.508916341935484,1.3299011672390408,18.93002107419355,1.8775800975538413,10.118768987096779,2.218591505064781,2092.075716416128,195.87616080860556,92.83259407956996,2.0163920370284383,24.06451612903226,4.133128227880978,16.9433206540486,3.3985488328411444,62.686378606098174,3.0932038996576794,20.370300739853246,4.066021752916566,84.26988727249025,5.451380327128963,2.1144482702688365,0.971086319605833,13.615664457240896,5.227947753980393,93.4393521635024,2.073280037639544,6.28447481628844,2.038254905417392,0.27617302020918505,0.25981637529835183,67.95671825291808,8.619432612252707,7,6,LV
1,1,60,2578.1,2251.3012862244655,11.538950031666669,0.2543509405090442,28.31979961666666,0.5329173136333443,8.219218838333333,1.9780863113704623,6752.315332043335,514.5037360152858,109.62482923666667,1.4658040353448778,25.4,4.353841086143344,14.674945519872486,2.2571699986981373,70.40498429522819,3.8582375933241178,14.920070184899291,3.408559964613642,82.11584701842897,9.647216467878708,5.172861445320311,3.656620716448613,12.7112915362507,6.556510055806462,94.55966219835406,1.689284145533441,3.774046310774174,1.1323863177020996,1.6662914908717805,1.0583703613222224,78.89669967590801,2.4048294484071744,7,4,MT
2,2,9,502.6666666666667,348.2301681359615,10.103186611111111,0.4158128825880514,23.853515633333334,1.155867184731151,3.063574944444445,0.7354668358766894,9621.676866333333,509.2355508950076,119.28470525555554,1.651688827400291,23.22222222222222,3.865804501581069,11.878272704069037,2.9344815069476873,73.78732867046898,3.9611469883714796,14.334398625461988,3.866580728226784,36.07556068979769,8.020153575212575,18.9440952085031,5.466112970794234,44.980344101699224,7.341501940014259,86.07827400711857,4.97810149929772,5.732833650383694,4.069952983535793,8.188892342497745,3.838821366528813,73.37685704567906,5.257031451275994,7,4,MT
3,3,40,869.95,728.392432619557,11.131912487500001,0.4278294492357702,27.299334042499993,1.3415392279592042,5.112309097499999,1.4533787720085418,7939.686645525001,802.8114539225799,113.3491550425,2.8208926518731503,22.35,2.9573897014350017,13.259924798761613,2.6980217955103325,65.11411841167892,3.675301359817066,21.62595678955946,4.528782853696979,78.84500585781358,9.745640471312077,5.007491094365984,3.4882891238727627,16.14750304782042,7.027918131615589,95.64581640253631,2.320166912218496,2.543099064975163,1.5003996653648481,1.8110845324885143,1.5556325116004308,76.67457753145115,4.752137279942354,7,4,MT
4,4,18,6345.611111111111,3807.2084746282344,11.386905555555554,0.22734327669147475,28.26479064444444,0.38903224198281183,10.632144233333333,2.61383168452585,6836.568142377776,513.8254091581541,109.93608431111114,1.5469867092984126,26.833333333333332,4.0908793819479765,11.42167001890209,2.1855677731732186,72.33890689067321,3.384534876328495,16.239423090424694,4.324481200984249,49.477002229819924,9.118751906440606,17.06403755222967,3.936868314724059,33.45896021795042,7.936045951174175,88.73810168844264,1.682952086047345,4.423887789058824,0.86863209372348,6.838010522498538,1.8983321768435932,76.56300734185751,2.4302056197313138,7,4,MT
5,5,2,267.0,371.938166904124,11.05544995,0.18109054163660704,25.71439265,0.1353486524898165,6.05251835,0.1032436004608665,8369.86621095,195.4390662441314,115.44852445000001,0.658780204618355,30.0,0.0,4.811320754716982,6.80423506424791,91.88679245283019,11.473808147555319,3.30188679245283,4.669573083307389,63.9622641509434,50.96505479495493,0.4716981132075472,0.6670818690439128,35.56603773584905,50.29797292591102,99.71537001897534,0.4025275794182515,0.09487666034155595,0.13417585980769398,0.18975332068311196,0.26835171961538806,35.6981981981982,20.225802074480075,7,4,MT
